Double Lengths,0,1,2,3,4,5,6,7,8,9
0,78,804,320,435,112,169,180,164,112,262
1,112,913,201,139,217,116,287,154,162,313
2,81,457,591,173,282,220,266,141,184,137
3,66,832,559,234,356,248,376,88,564,153
4,346,699,168,540,163,322,84,254,149,119
5,63,69,1153,195,247,135,216,193,136,131
6,67,1048,132,131,205,163,170,200,186,231
7,179,919,365,113,348,160,274,136,272,196
8,78,968,349,278,183,192,197,162,181,210
9,167,921,85,269,244,230,110,172,351,231
Mean,123.7,763.0,392.3,250.7,235.7,195.5,216.0,166.4,229.7,198.3
Std. Dev.,84.09286533351091,279.4387231576898,300.47930045179487,131.881044885154,73.53917323440616,57.93142497815845,83.02891062756395,41.756915594904754,129.75288050752476,60.10166387047867
