Single Returns,0,1,2,3,4,5,6,7,8,9
0,-70,-2580,-531,-328,-803,-98,-490,-693,-417,-1068
1,-103,-3263,-397,-112,-586,-444,-385,-480,-585,-124
2,-515,-1979,-607,-1123,-655,-874,-455,-754,-669,-568
3,-105,-1611,-1537,-592,-385,-884,-717,-477,-846,-356
4,-76,-2617,-780,-473,-621,-741,-835,-35,-726,-521
5,-2692,-458,-878,-561,-725,-693,-352,-889,-639,-681
6,-86,-2765,-327,-607,-170,-733,-220,-412,-440,-433
7,-155,-2576,-696,-377,-949,-800,-559,-227,-440,-121
8,-3022,-1190,-727,-457,-764,-449,-1067,-574,-685,-70
9,-176,-2161,-564,-582,-926,-581,-412,-319,-553,-727
Mean,-700.0,-2120.0,-704.4,-521.2,-658.4,-629.7,-549.2,-486.0,-600.0,-466.9
Std. Dev.,1088.0845555378498,793.5241647234191,320.28868228521594,247.351490798014,226.38206642753306,230.7882362686626,241.55239597238526,242.6499536369212,133.04961480590615,299.3601342864477
