Single Lengths,0,1,2,3,4,5,6,7,8,9
0,15,20,10,14,20,8,7,25,20,19
1,7,12,10,4,4,10,22,12,19,9
2,5,5,27,4,14,38,8,5,11,6
3,15,28,27,3,18,29,7,14,4,62
4,9,28,22,17,18,10,9,30,6,28
5,5,4,4,5,5,21,5,4,8,36
6,18,26,48,8,4,6,20,9,4,9
7,5,8,33,4,16,24,13,10,8,52
8,10,15,11,4,10,9,9,13,14,4
9,12,29,7,4,5,29,25,37,6,10
Mean,10.1,17.5,19.9,6.7,11.4,18.4,12.5,15.9,10.0,23.5
Std. Dev.,4.504442251822083,9.468368391650168,13.269890730522237,4.62709412050371,6.1838499334961226,10.669582934679312,6.815423684555495,10.47329938462565,5.5677643628300215,19.44350791395421
