Double Returns,0,1,2,3,4,5,6,7,8,9
0,-407,-587,-560,-479,-473,-542,-542,-614,-380,-163
1,-578,-560,-569,-551,-551,-542,-578,-542,-506,-623
2,-623,-614,-533,-524,-578,-308,-623,-569,-284,-497
3,-560,-614,-194,-452,-578,-326,-614,-551,-335,-569
4,-560,-623,-596,-524,-623,-578,-380,-308,-533,-444
5,-623,-596,-470,-623,-497,-587,-578,-123,-442,-326
6,-560,-497,-587,-578,-560,-479,-569,-641,-362,-420
7,-542,-441,-596,-515,-470,-659,-578,-479,-578,-560
8,-488,-578,-632,-605,-569,-278,-605,-506,-389,-488
9,-470,-456,-434,-560,-560,-533,-506,-650,-587,-569
Mean,-541.1,-556.6,-517.1,-541.1,-545.9,-483.2,-557.3,-498.3,-439.6,-465.9
Std. Dev.,64.58087952327685,64.01593551608849,122.00118851880092,50.66448460213525,47.359159620922334,125.5362895739714,67.47599573181563,156.187099339222,100.65108047110076,130.4442026308567
